simulation_id,network_type,converged,step,theory,num_agents,true_probs_old,true_probs_new
403,cycle,True,10,New Theory,10,0.2,0.8
404,cycle,True,12,New Theory,10,0.2,0.8
405,cycle,True,10,New Theory,10,0.2,0.8
406,cycle,True,3,Old Theory,10,0.2,0.8
407,cycle,True,10,New Theory,10,0.2,0.8
408,cycle,True,10,New Theory,10,0.2,0.8
409,cycle,True,7,New Theory,10,0.2,0.8
410,cycle,True,8,New Theory,10,0.2,0.8
411,cycle,True,8,New Theory,10,0.2,0.8
412,cycle,True,8,New Theory,10,0.2,0.8
413,cycle,True,10,New Theory,10,0.2,0.8
414,cycle,True,9,New Theory,10,0.2,0.8
415,cycle,True,7,New Theory,10,0.2,0.8
416,cycle,True,1,Old Theory,10,0.2,0.8
417,cycle,True,7,New Theory,10,0.2,0.8
418,cycle,True,7,New Theory,10,0.2,0.8
419,cycle,True,8,New Theory,10,0.2,0.8
420,cycle,True,8,New Theory,10,0.2,0.8
421,cycle,True,2,Old Theory,10,0.2,0.8
422,cycle,True,7,New Theory,10,0.2,0.8
423,cycle,True,10,New Theory,10,0.2,0.8
424,cycle,True,7,New Theory,10,0.2,0.8
425,cycle,True,8,New Theory,10,0.2,0.8
426,cycle,True,8,New Theory,10,0.2,0.8
427,cycle,True,6,New Theory,10,0.2,0.8
428,cycle,True,11,New Theory,10,0.2,0.8
429,cycle,True,9,New Theory,10,0.2,0.8
430,cycle,True,8,New Theory,10,0.2,0.8
431,cycle,True,7,New Theory,10,0.2,0.8
432,cycle,True,12,New Theory,10,0.2,0.8
433,cycle,True,7,New Theory,10,0.2,0.8
434,cycle,True,6,New Theory,10,0.2,0.8
435,cycle,True,2,Old Theory,10,0.2,0.8
436,cycle,True,7,New Theory,10,0.2,0.8
437,cycle,True,1,Old Theory,10,0.2,0.8
438,cycle,True,1,Old Theory,10,0.2,0.8
439,cycle,True,8,New Theory,10,0.2,0.8
440,cycle,True,8,New Theory,10,0.2,0.8
441,cycle,True,1,Old Theory,10,0.2,0.8
442,cycle,True,3,Old Theory,10,0.2,0.8
443,cycle,True,2,Old Theory,10,0.2,0.8
444,cycle,True,7,New Theory,10,0.2,0.8
445,cycle,True,6,New Theory,10,0.2,0.8
446,cycle,True,1,Old Theory,10,0.2,0.8
447,cycle,True,8,New Theory,10,0.2,0.8
448,cycle,True,9,New Theory,10,0.2,0.8
449,cycle,True,1,Old Theory,10,0.2,0.8
450,cycle,True,1,Old Theory,10,0.2,0.8
451,cycle,True,6,New Theory,10,0.2,0.8
452,cycle,True,8,New Theory,10,0.2,0.8
453,cycle,True,9,New Theory,10,0.2,0.8
454,cycle,True,7,New Theory,10,0.2,0.8
455,cycle,True,8,New Theory,10,0.2,0.8
456,cycle,True,6,New Theory,10,0.2,0.8
457,cycle,True,6,New Theory,10,0.2,0.8
458,cycle,True,1,Old Theory,10,0.2,0.8
459,cycle,True,6,New Theory,10,0.2,0.8
460,cycle,True,5,New Theory,10,0.2,0.8
461,cycle,True,2,Old Theory,10,0.2,0.8
462,cycle,True,10,New Theory,10,0.2,0.8
463,cycle,True,8,New Theory,10,0.2,0.8
464,cycle,True,7,New Theory,10,0.2,0.8
465,cycle,True,7,New Theory,10,0.2,0.8
466,cycle,True,9,New Theory,10,0.2,0.8
467,cycle,True,2,Old Theory,10,0.2,0.8
468,cycle,True,4,Old Theory,10,0.2,0.8
469,cycle,True,1,Old Theory,10,0.2,0.8
470,cycle,True,8,New Theory,10,0.2,0.8
471,cycle,True,9,New Theory,10,0.2,0.8
472,cycle,True,7,New Theory,10,0.2,0.8
473,cycle,True,8,New Theory,10,0.2,0.8
474,cycle,True,8,New Theory,10,0.2,0.8
475,cycle,True,10,New Theory,10,0.2,0.8
476,cycle,True,8,New Theory,10,0.2,0.8
477,cycle,True,7,New Theory,10,0.2,0.8
478,cycle,True,8,New Theory,10,0.2,0.8
479,cycle,True,6,New Theory,10,0.2,0.8
480,cycle,True,8,New Theory,10,0.2,0.8
481,cycle,True,9,New Theory,10,0.2,0.8
482,cycle,True,6,New Theory,10,0.2,0.8
483,cycle,True,1,Old Theory,10,0.2,0.8
484,cycle,True,1,Old Theory,10,0.2,0.8
485,cycle,True,12,New Theory,10,0.2,0.8
486,cycle,True,2,Old Theory,10,0.2,0.8
487,cycle,True,7,New Theory,10,0.2,0.8
488,cycle,True,1,Old Theory,10,0.2,0.8
489,cycle,True,1,Old Theory,10,0.2,0.8
490,cycle,True,1,Old Theory,10,0.2,0.8
491,cycle,True,10,New Theory,10,0.2,0.8
492,cycle,True,8,New Theory,10,0.2,0.8
493,cycle,True,7,New Theory,10,0.2,0.8
494,cycle,True,1,Old Theory,10,0.2,0.8
495,cycle,True,8,New Theory,10,0.2,0.8
496,cycle,True,1,Old Theory,10,0.2,0.8
497,cycle,True,7,New Theory,10,0.2,0.8
498,cycle,True,7,New Theory,10,0.2,0.8
499,cycle,True,8,New Theory,10,0.2,0.8
500,cycle,True,3,Old Theory,10,0.2,0.8
501,cycle,True,1,Old Theory,10,0.2,0.8
502,cycle,True,2,Old Theory,10,0.2,0.8
503,cycle,True,9,New Theory,10,0.2,0.8
504,cycle,True,2,Old Theory,10,0.2,0.8
505,cycle,True,7,New Theory,10,0.2,0.8
506,cycle,True,7,New Theory,10,0.2,0.8
507,cycle,True,7,New Theory,10,0.2,0.8
508,cycle,True,9,New Theory,10,0.2,0.8
509,cycle,True,8,New Theory,10,0.2,0.8
510,cycle,True,7,New Theory,10,0.2,0.8
511,cycle,True,1,Old Theory,10,0.2,0.8
512,cycle,True,9,New Theory,10,0.2,0.8
513,cycle,True,1,Old Theory,10,0.2,0.8
514,cycle,True,8,New Theory,10,0.2,0.8
515,cycle,True,7,New Theory,10,0.2,0.8
516,cycle,True,9,New Theory,10,0.2,0.8
517,cycle,True,8,New Theory,10,0.2,0.8
518,cycle,True,2,Old Theory,10,0.2,0.8
519,cycle,True,1,Old Theory,10,0.2,0.8
520,cycle,True,8,New Theory,10,0.2,0.8
521,cycle,True,1,Old Theory,10,0.2,0.8
522,cycle,True,8,New Theory,10,0.2,0.8
523,cycle,True,10,New Theory,10,0.2,0.8
524,cycle,True,7,New Theory,10,0.2,0.8
525,cycle,True,1,Old Theory,10,0.2,0.8
526,cycle,True,8,New Theory,10,0.2,0.8
527,cycle,True,7,New Theory,10,0.2,0.8
528,cycle,True,3,Old Theory,10,0.2,0.8
529,cycle,True,9,New Theory,10,0.2,0.8
530,cycle,True,3,Old Theory,10,0.2,0.8
531,cycle,True,1,Old Theory,10,0.2,0.8
532,cycle,True,6,New Theory,10,0.2,0.8
533,cycle,True,1,Old Theory,10,0.2,0.8
534,cycle,True,6,New Theory,10,0.2,0.8
535,cycle,True,2,Old Theory,10,0.2,0.8
536,cycle,True,6,New Theory,10,0.2,0.8
537,cycle,True,6,New Theory,10,0.2,0.8
538,cycle,True,10,New Theory,10,0.2,0.8
539,cycle,True,7,New Theory,10,0.2,0.8
540,cycle,True,9,New Theory,10,0.2,0.8
541,cycle,True,3,Old Theory,10,0.2,0.8
542,cycle,True,2,Old Theory,10,0.2,0.8
543,cycle,True,1,Old Theory,10,0.2,0.8
544,cycle,True,1,Old Theory,10,0.2,0.8
545,cycle,True,9,New Theory,10,0.2,0.8
546,cycle,True,3,Old Theory,10,0.2,0.8
547,cycle,True,9,New Theory,10,0.2,0.8
